,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Zhigansk,RU,66.7697,123.3711,-41.33,79,50,9.13,scattered clouds
221,Mogadishu,SO,2.0371,45.3438,75.43,86,13,16.73,few clouds
222,Martapura,ID,-3.4167,114.85,80.6,83,40,6.91,scattered clouds
223,Labuhan,ID,-6.8844,112.2051,78.76,87,100,14.09,light rain
224,Sohag,EG,26.557,31.6948,55.4,47,0,11.5,clear sky
225,Kuchinarai,TH,16.541,104.05,80.01,57,0,13.8,clear sky
226,Barra Do Garcas,BR,-15.89,-52.2567,75.94,72,100,0.22,overcast clouds
227,Boras,SE,57.721,12.9401,18.0,85,40,12.66,scattered clouds
228,Kupang,ID,-10.1667,123.5833,77.0,100,75,11.5,broken clouds
229,Yulara,AU,-25.2406,130.9889,93.2,36,40,18.41,scattered clouds
230,Victoria,HK,22.2855,114.1577,73.0,43,0,10.36,clear sky
231,Shingu,JP,33.7333,135.9833,48.2,43,75,2.3,broken clouds
232,Svetlogorsk,BY,52.6333,29.7333,33.06,99,100,6.29,light snow
233,Conceicao Da Barra,BR,-18.5933,-39.7322,76.96,82,31,7.47,scattered clouds
234,Hermanus,ZA,-34.4187,19.2345,61.0,92,61,2.46,broken clouds
235,Monster,NL,52.0258,4.175,46.99,87,40,12.66,scattered clouds
236,Dali,CN,25.7,100.1833,51.49,46,0,2.91,clear sky
237,Nipawin,CA,53.3668,-104.0009,6.8,72,75,11.5,broken clouds
238,La Primavera,CO,5.4906,-70.4092,84.36,48,2,4.61,clear sky
239,Namatanai,PG,-3.6667,152.4333,85.1,67,92,6.62,light rain
240,Guerrero Negro,MX,27.9769,-114.0611,62.71,76,99,18.12,overcast clouds
241,Joshimath,IN,30.5667,79.5667,38.79,51,96,5.99,overcast clouds
242,North Platte,US,41.1239,-100.7654,48.2,57,40,21.85,scattered clouds
243,Grand-Santi,GF,4.25,-54.3833,73.92,96,99,3.27,overcast clouds
244,Sorland,NO,67.667,12.6934,35.38,80,85,26.06,overcast clouds
245,Lichuan,CN,30.3,108.85,41.02,91,100,4.27,light rain
246,Shache,CN,38.4167,77.2406,23.95,88,0,1.88,clear sky
247,Solenzo,BF,12.1833,-4.0833,72.23,17,32,5.64,scattered clouds
248,Masuda,JP,34.6667,131.85,48.2,49,40,18.41,scattered clouds
249,Paterno,IT,37.571,14.9027,53.01,87,0,9.22,clear sky
250,Mangan,IN,27.5167,88.5333,56.86,31,0,4.16,clear sky
251,Estepona,ES,36.4276,-5.1459,59.0,77,71,11.5,broken clouds
252,Hambantota,LK,6.1241,81.1185,77.0,88,90,13.8,light rain
253,Sterlibashevo,RU,53.4376,55.2578,29.05,98,100,5.14,overcast clouds
254,Kahului,US,20.8947,-156.47,68.0,77,40,27.63,moderate rain
255,Amos,CA,48.5669,-78.1162,14.0,100,1,8.05,clear sky
256,Cabatuan,PH,10.8794,122.486,80.44,77,84,17.07,broken clouds
257,Kandrian,PG,-6.2167,149.55,86.43,69,100,14.7,light rain
258,Ulladulla,AU,-35.35,150.4667,82.4,57,20,16.11,few clouds
259,Pio Ix,BR,-6.8375,-40.5792,74.62,57,32,2.55,scattered clouds
260,Geraldton,AU,-28.7667,114.6,75.2,50,90,27.63,overcast clouds
261,San Patricio,US,28.017,-97.5169,66.2,77,75,17.27,broken clouds
262,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,26.46,scattered clouds
263,Tevriz,RU,57.509,72.4042,3.94,95,92,6.42,overcast clouds
264,Odienne,CI,9.51,-7.5692,72.03,27,0,2.24,clear sky
265,Fort Nelson,CA,58.8053,-122.7002,-7.6,77,75,6.91,light snow
266,Trelew,AR,-43.249,-65.3051,71.06,54,95,18.14,overcast clouds
267,Longyearbyen,SJ,78.2186,15.6401,23.0,68,75,16.11,light snow
268,Koslan,RU,63.4564,48.8989,5.31,94,100,5.84,overcast clouds
269,Steinbach,DE,50.1667,8.5667,48.99,87,75,12.66,light rain
270,Lakselv,NO,70.0513,24.9718,26.6,80,90,21.85,light snow
271,Osakarovka,KZ,50.565,72.5692,19.02,94,100,12.82,overcast clouds
272,Taoudenni,ML,22.6783,-3.9836,66.49,24,0,5.95,clear sky
273,Kalmunai,LK,7.4167,81.8167,76.69,81,77,10.78,broken clouds
274,Fez,MA,34.0372,-4.9998,53.6,71,0,8.05,clear sky
275,Lakatoro,VU,-16.0999,167.4164,85.19,67,100,9.44,overcast clouds
276,Abilene,US,32.4487,-99.7331,71.6,28,1,16.11,clear sky
277,Bull Savanna,JM,17.8868,-77.5902,69.01,83,3,7.23,clear sky
278,Parrsboro,CA,45.4001,-64.332,39.0,100,87,3.94,overcast clouds
279,Ola,RU,59.5833,151.2833,4.15,85,32,16.87,scattered clouds
280,Boyuibe,BO,-20.4167,-63.2833,65.3,91,100,10.92,overcast clouds
281,Magaria,NE,12.9983,8.9099,65.28,25,0,10.49,clear sky
282,Taltal,CL,-25.4,-70.4833,65.8,72,39,4.16,scattered clouds
283,Great Yarmouth,GB,52.6083,1.7305,39.2,93,30,5.75,scattered clouds
284,Pingliang,CN,35.5392,106.6861,35.78,60,100,3.56,overcast clouds
285,Chaihe,CN,44.7667,129.7,-5.39,81,15,15.43,few clouds
286,Genhe,CN,50.7833,121.5167,-18.85,81,0,2.51,clear sky
287,Inuvik,CA,68.3499,-133.7218,-36.4,67,22,2.28,few clouds
288,Zhangjiakou,CN,40.81,114.8794,23.76,68,0,4.61,clear sky
289,Itupiranga,BR,-5.1347,-49.3267,74.91,88,4,1.43,clear sky
290,Newport,GB,51.5877,-2.9984,42.01,96,10,8.99,clear sky
291,Maltahohe,NA,-24.8333,16.9833,75.0,31,46,10.22,scattered clouds
292,Sebinkarahisar,TR,40.2883,38.4236,31.71,89,97,2.53,overcast clouds
293,Bay Roberts,CA,47.5999,-53.2648,48.2,100,90,16.11,mist
294,Ancud,CL,-41.8697,-73.8203,59.0,82,0,4.61,clear sky
295,La Macarena,CO,2.1837,-73.7849,75.61,83,17,2.26,few clouds
296,Riyadh,SA,24.6877,46.7219,60.8,39,0,4.61,clear sky
297,Zurrieq,MT,35.8311,14.4742,57.0,94,20,8.05,few clouds
298,Lompoc,US,34.6391,-120.4579,53.6,71,1,12.66,clear sky
299,Torrevieja,ES,37.9787,-0.6822,53.01,88,100,1.36,overcast clouds
300,Mehamn,NO,71.0357,27.8492,29.1,93,100,21.43,light snow
