City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Boyuibe,BO,65.3,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
281,Magaria,NE,65.28,clear sky,12.9983,8.9099,Chez Honorable Chapiou
282,Taltal,CL,65.8,scattered clouds,-25.4,-70.4833,Residencial Karime
283,Great Yarmouth,GB,39.2,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
284,Pingliang,CN,35.78,overcast clouds,35.5392,106.6861,North Gate Hostel
285,Chaihe,CN,-5.39,few clouds,44.7667,129.7,Fengyuan Hotel
286,Genhe,CN,-18.85,clear sky,50.7833,121.5167,Companionship Hotel
287,Inuvik,CA,-36.4,few clouds,68.3499,-133.7218,Nova Inn Inuvik
288,Zhangjiakou,CN,23.76,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
289,Itupiranga,BR,74.91,clear sky,-5.1347,-49.3267,Hotel Panorama
290,Newport,GB,42.01,clear sky,51.5877,-2.9984,ibis budget Newport
292,Sebinkarahisar,TR,31.71,overcast clouds,40.2883,38.4236,Sebinkarahisar Ogretmenevi
293,Bay Roberts,CA,48.2,mist,47.5999,-53.2648,Stonewall Inn
294,Ancud,CL,59.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
295,La Macarena,CO,75.61,few clouds,2.1837,-73.7849,Casa Hotel Real
296,Riyadh,SA,60.8,clear sky,24.6877,46.7219,InterContinental Riyadh
297,Zurrieq,MT,57.0,few clouds,35.8311,14.4742,Ta'Bertu Guest House
298,Lompoc,US,53.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
299,Torrevieja,ES,53.01,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
300,Mehamn,NO,29.1,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
301,Muli,MV,81.59,moderate rain,2.9167,73.5667,Medhufushi Island Resort
302,Santa Maria Da Vitoria,BR,70.54,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
303,Skjervoy,NO,33.53,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
304,San Carlos De Bariloche,AR,68.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
305,Kokubu,JP,51.8,scattered clouds,31.7333,130.7667,Hotel Kyocera
306,Port Hardy,CA,41.0,light rain,50.6996,-127.4199,Airport Inn
307,Chumikan,RU,-19.88,clear sky,54.7183,135.315,Fortuna
308,Buncrana,IE,42.85,overcast clouds,55.1333,-7.45,Inishowen Gateway Hotel
309,Banjarmasin,ID,80.6,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
310,Manono,CD,68.18,few clouds,-7.3,27.4167,Hotel hewa bora
311,Broken Hill,AU,87.8,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
312,Peru,US,19.99,clear sky,40.7537,-86.0689,Cole Porter Inn
313,Waikuku,NZ,63.0,broken clouds,-43.3,172.6833,Rivendell Respite
314,Mayo,US,39.2,few clouds,38.8876,-76.5119,Resorts Resource Group International
315,Novomichurinsk,RU,33.01,snow,54.0384,39.7479,"The recreation center ""Green Lake"""
316,Mambajao,PH,81.01,few clouds,9.2504,124.7156,SomeWhere Else boutique resort
317,Ambilobe,MG,74.52,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
318,Yar-Sale,RU,-6.05,overcast clouds,66.8333,70.8333,Yalemd
319,Blackwater,AU,86.77,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
320,Ishimbay,RU,28.4,light snow,53.4545,56.0415,Bashneft
321,Tula,RU,28.6,overcast clouds,54.2044,37.6111,София
322,Estevan,CA,1.4,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
323,Tottori,JP,48.2,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
325,Laguna,US,53.6,overcast clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
326,Storforshei,NO,6.01,scattered clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
327,Chuy,UY,67.78,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
328,Coquimbo,CL,59.0,few clouds,-29.9533,-71.3436,Hotel San Juan
329,Roma,US,27.0,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
331,Nouadhibou,MR,63.95,overcast clouds,20.930999999999997,-17.0347,El Medina
333,Mar Del Plata,AR,66.2,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
334,Ixtapa,MX,71.01,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
335,Mount Isa,AU,95.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
336,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
337,Matara,LK,75.76,light rain,5.9485,80.5353,Amaloh Boutique Resort
338,Mwinilunga,ZM,61.25,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
340,Waddan,LY,48.99,clear sky,29.1614,16.139,محل الشريف محمد العايب
342,Ajaccio,FR,46.4,clear sky,42.0,8.9167,Sole E Monte
343,Middelburg,ZA,58.84,clear sky,-25.7751,29.4648,Oregon Place Guest House
344,Maiduguri,NG,66.0,scattered clouds,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
345,Denia,ES,57.99,overcast clouds,38.8408,0.1057,Hotel Port Dénia
346,Porbandar,IN,62.6,haze,21.6422,69.6093,Lords Inn Porbandar
